nct_id,enrollment_log,start_year,pre_semaglutide_era,post_semaglutide_era,phase_Unknown,phase_PHASE4,is_obesity,is_t2d,is_weight_loss,exc_count,criteria_total_len,mentions_bmi,mentions_contraindication,mentions_renal_cutoff,high_risk_term_count,risk_ratio,year_x_enrollment,enrollment_log_x_phase_Unknown,label
NCT04924504,3.218875824868201,2021.0,0,1,0,0,1,0,0,0,580,0,0,0,1,1.0,6505.348042058633,0.0,0
NCT00300287,5.017279836814924,2006.0,1,0,0,0,0,0,0,0,284,0,0,0,0,0.0,10064.663352650738,0.0,0
NCT00328744,5.313205979041787,2006.0,1,0,0,0,1,0,1,0,1965,1,0,0,0,0.0,10658.291193957824,0.0,0
NCT05662475,4.204692619390966,2021.0,0,1,0,0,0,1,0,0,876,0,0,0,0,0.0,8497.683783789142,0.0,0
NCT01984372,8.726481196440007,2013.0,1,0,0,0,0,0,0,0,296,0,0,0,0,0.0,17566.406648433735,0.0,0
NCT03092752,11.99607357575978,2017.0,0,1,0,0,0,0,0,0,693,0,0,0,0,0.0,24196.080402307474,0.0,0
NCT03591354,5.10594547390058,2019.0,0,1,0,0,0,0,0,0,2059,0,0,0,3,3.0,10308.903911805271,0.0,0
NCT02180620,2.6390573296152584,2013.0,1,0,0,0,0,1,0,0,308,1,0,0,0,0.0,5312.422404515515,0.0,0
NCT06178250,4.941642422609304,2021.0,0,1,0,0,0,0,0,0,168,0,0,0,0,0.0,9987.059336093404,0.0,0
NCT00978835,5.934894195619588,2008.0,1,0,0,0,0,0,0,0,835,0,0,0,2,2.0,11917.267544804132,0.0,0
NCT03208751,6.2166061010848646,2011.0,1,0,0,0,0,0,0,0,326,0,0,0,3,3.0,12501.594869281662,0.0,0
NCT01387165,8.186742787113518,2004.0,1,0,0,0,0,0,0,0,325,0,0,0,0,0.0,16406.23254537549,0.0,0
NCT06902155,4.997212273764115,2024.0,0,1,0,0,0,0,0,0,340,0,0,0,0,0.0,10114.357642098568,0.0,0
NCT05396079,2.5649493574615367,2023.0,0,1,0,0,0,0,0,0,216,0,0,0,0,0.0,5188.892550144689,0.0,0
